symbol,logFC,pval,padj
KIAA0020,-0.19573324918746948,3.9490544463608847e-14,1.9447619620548863e-11
CDC20,-0.41212016344070435,4.225253969025884e-14,2.0501802162942506e-11
PCYOX1,0.640335202217102,4.261939646981007e-14,2.038010125393309e-11
FOXM1,-0.36265063285827637,4.4236005332966635e-14,2.0850957085160487e-11
SRSF7,-0.25457385182380676,4.630816203182591e-14,2.1520250792114025e-11
SPON2,0.37925273180007935,4.802419206055221e-14,2.2007753014415556e-11
CXCL12,-0.1867026686668396,5.604265860026807e-14,2.5330513979669107e-11
NEIL3,-0.07420536875724792,5.6398641325407966e-14,2.5146934736916702e-11
CENPF,-0.7147856950759888,6.142787985098265e-14,2.7024171942442297e-11
RPL8,-0.38411569595336914,6.748524726064973e-14,2.929836491269918e-11
KPNA2,-0.36099129915237427,6.881927669894362e-14,2.9489506943917464e-11
ACAN,-0.02199670486152172,7.441924794830245e-14,3.148029597505435e-11
TMTC1,0.3356875777244568,7.555188208521438e-14,3.1554865182299344e-11
ITGA5,-0.4035820960998535,7.567200588416826e-14,3.120997292685165e-11
RRM2,-0.7279784679412842,7.593016849833951e-14,3.092982604447793e-11
KIF20B,-0.28327444195747375,7.675189909229946e-14,3.0883279396956344e-11
PLCB4,0.11654654145240784,7.98546958401641e-14,3.1744646858388126e-11
SERPINH1,-0.7874019145965576,8.060852174025395e-14,3.166283541451999e-11
TUBA1C,-0.6513527631759644,8.349038594952589e-14,3.240900334593655e-11
ORMDL3,0.2595159113407135,8.722986359049183e-14,3.3466852897305554e-11
APOBEC3B,-0.10155835747718811,9.221274379496534e-14,3.497194806338944e-11
DAZAP1,-0.20648863911628723,9.807876862559596e-14,3.677396557729021e-11
HMGN2,-0.5422849655151367,9.925853582877958e-14,3.679815044573688e-11
KIF15,-0.15784668922424316,1.0101721196538967e-13,3.7034032319978136e-11
CCNA2,-0.33713722229003906,1.0467394198693719e-13,3.7952930943505413e-11
ATAD2,-0.3323366641998291,1.1017844469004716e-13,3.9514541114653326e-11
POLQ,-0.1501213014125824,1.1375845174912066e-13,4.035978618776598e-11
TAGLN,-0.4184105396270752,1.162128232484384e-13,4.0791937266832176e-11
GINS4,-0.19129736721515656,1.1855143921024134e-13,4.1174786702546455e-11
CALCOCO1,0.3405134677886963,1.2166913678938007e-13,4.1817428837141624e-11
CFH,0.06371727585792542,1.277680670914414e-13,4.3460900759609366e-11
POSTN,-0.6790716648101807,1.2930163742923986e-13,4.353375027528336e-11
ZWINT,-0.34853458404541016,1.3052203043185296e-13,4.350075145554534e-11
MLF1IP,-0.2010570466518402,1.318755469305312e-13,4.351233670972877e-11
NCAPD2,-0.3687904477119446,1.3197631181178131e-13,4.311443968544282e-11
CPQ,0.3181033730506897,1.6010507685426943e-13,5.179085304712372e-11
SH2D4A,-0.0250348299741745,1.7226668507510278e-13,5.5183876447116665e-11
HLA-E,0.3254249095916748,1.748373299350036e-13,5.546882405005234e-11
CHSY1,-0.2274329662322998,1.8027127760084109e-13,5.664810289942621e-11
PTMA,-0.7258989214897156,1.8281704701141814e-13,5.690611760511077e-11
ST3GAL1,-0.26780641078948975,1.8336518112407463e-13,5.654330982419479e-11
NEK2,-0.11923016607761383,1.8390225347944345e-13,5.61838412366133e-11
TICRR,-0.08985728025436401,1.9588137680477222e-13,5.929455071260055e-11
PAICS,-0.43822258710861206,1.9633973859379083e-13,5.88929970445648e-11
HIST2H2AA3,0.050795916467905045,1.9634312781188345e-13,5.836343695633419e-11
HN1L,-0.23200392723083496,1.9819485406134254e-13,5.838785008708926e-11
RANBP1,-0.28929585218429565,1.993201562935847e-13,5.8199721742538294e-11
KIAA0101,-0.16236156225204468,2.405581077184785e-13,6.962469091378244e-11
PTCHD4,0.20805343985557556,2.433203715000062e-13,6.981178832732787e-11
HMGB3,-0.09430152177810669,2.4892382930998116e-13,7.080380817312783e-11
DEPDC1,-0.24724216759204865,2.589463444063347e-13,7.302508233920523e-11
DTL,-0.19354814291000366,2.710488934567585e-13,7.579032406445549e-11
ANGPTL2,0.43547725677490234,2.717584911056363e-13,7.535017994983588e-11
RP11-121L10.3,-0.435233473777771,2.734623014862008e-13,7.519073864614331e-11
OLFML3,-0.37504416704177856,2.8684014808161857e-13,7.821727839630583e-11
CTHRC1,-0.32707029581069946,3.231213436206521e-13,8.738843223576571e-11
MEIS2,-0.19007644057273865,3.2572623209427147e-13,8.737672380447551e-11
NUP160,-0.15378490090370178,3.3283776550532795e-13,8.85643715552282e-11
TGFB1I1,-0.25005173683166504,3.3815070674306506e-13,8.925826055189946e-11
HEG1,0.5186793804168701,3.3985683489625436e-13,8.899663704287233e-11
PFKP,-0.463350772857666,3.4445531966528277e-13,8.949057694768507e-11
EZR,-0.33113014698028564,3.44930574977113e-13,8.89139400107019e-11
LINC00578,-0.001418832573108375,3.601759700409124e-13,9.212407853875896e-11
SMURF2,0.25382494926452637,3.782820628733683e-13,9.601089741928297e-11
RP11-571F15.6,-0.06858891248703003,3.818417716786567e-13,9.61745744773838e-11
KLF10,-0.3707094192504883,3.875844719335821e-13,9.688143675339805e-11
RPL10,-0.5402170419692993,4.045517470288817e-13,1.0036229243021017e-10
PRMT1,-0.3079405426979065,4.1626124920551206e-13,1.0249656654877516e-10
KIF23,-0.40026843547821045,4.692731373413901e-13,1.146938308635494e-10
LRRC59,-0.36090612411499023,4.710607312118307e-13,1.1428418254657612e-10
LRPAP1,0.33004826307296753,5.195705757794037e-13,1.251330740718352e-10
SFPQ,-0.3135948181152344,5.210968822039242e-13,1.2459124368346724e-10
BACE2,0.09462353587150574,5.226006702285142e-13,1.2405186413086203e-10
GMPS,-0.13992345333099365,5.263365131717676e-13,1.2404623751501764e-10
RBBP7,-0.213764488697052,5.395328118249638e-13,1.2625450444088426e-10
CASC5,-0.29859596490859985,5.610683038938099e-13,1.3036935695053705e-10
AC007246.3,0.0764908567070961,5.838243544663569e-13,1.3470828374557655e-10
INTS7,-0.08816323429346085,5.921392778555376e-13,1.356780241169685e-10
MCM6,-0.2775607109069824,5.922778704108596e-13,1.347738505807332e-10
WARS,-0.05168771743774414,5.985440051440175e-13,1.3526684554607437e-10
WDR34,-0.10224609076976776,6.037511399281925e-13,1.355154344349028e-10
CBS,-0.2354840338230133,6.238835149613481e-13,1.3908808497398432e-10
FERMT2,-0.30370283126831055,6.419537325099185e-13,1.421561302292937e-10
RGS4,-0.36864596605300903,6.515690617149423e-13,1.4332347460856348e-10
RACGAP1,-0.4079539179801941,6.644089980316412e-13,1.45179966159298e-10
ADCY7,-0.09858138859272003,6.765788510739169e-13,1.4686657362620978e-10
MMS22L,-0.11699670553207397,6.807486659728408e-13,1.4680589695277048e-10
TAGLN2,-0.4814112186431885,6.936796809895016e-13,1.4862312385875717e-10
PTPRM,0.2673823833465576,7.19132366380455e-13,1.5308240276595558e-10
TRIP13,-0.22186462581157684,7.666204157280348e-13,1.6214513215991351e-10
ZFPM2,-0.1588745266199112,7.735082650108962e-13,1.6255990575818165e-10
CDC45,-0.15996478497982025,8.029429275723787e-13,1.67677860096523e-10
CREBRF,0.2195599377155304,8.131869458003421e-13,1.6874907721183828e-10
ESPL1,-0.1889498233795166,8.18595509276764e-13,1.6880974267866768e-10
CYB5D2,0.15862759947776794,8.249328820175883e-13,1.6906000274639955e-10
CENPW,-0.1120358556509018,8.272277698389378e-13,1.6848382880145525e-10
PRR11,-0.21452747285366058,8.34609679404536e-13,1.6894445626964824e-10
SORT1,0.565556526184082,8.378555613818381e-13,1.6856734297435212e-10
HHAT,0.09834510087966919,8.508659713030023e-13,1.7014741044328825e-10
H2AFY2,-0.05830898880958557,8.65364955105969e-13,1.720043174320569e-10
DARS2,-0.1015131026506424,8.695039017646883e-13,1.7179210322590353e-10
CDC25B,-0.22466450929641724,8.707901401707138e-13,1.7102214687459942e-10
FANCD2,-0.16248735785484314,8.732572329290244e-13,1.7049184852362818e-10
ALDH1B1,-0.14274197816848755,8.813091229917429e-13,1.7105173243007386e-10
MTHFD1L,-0.1532914638519287,9.16340031531068e-13,1.7681075637641865e-10
APBB2,0.11185014247894287,9.615085948730847e-13,1.8444753539440367e-10
EIF4A1,-0.4243192672729492,9.669362995391073e-13,1.8441655030805114e-10
TK1,-0.42952775955200195,9.894369833371707e-13,1.8762340957017212e-10
DBF4,-0.1154792308807373,1.000418129264216e-12,1.8862169242898746e-10
ANKRD28,-0.18547219038009644,1.0384432375238782e-12,1.9467860580738844e-10
DNASE2,0.1653086245059967,1.044781175649293e-12,1.947601971217425e-10
PHB2,-0.2646443247795105,1.0650550087265368e-12,1.9742410119624765e-10
BRCA2,-0.07834840565919876,1.0714628369700286e-12,1.9750232573087203e-10
CTGF,0.11028838157653809,1.1228280477524538e-12,2.0582061908662338e-10
EXOSC9,-0.13423022627830505,1.1231019212004525e-12,2.0473341375695543e-10
NALCN,0.09268579632043839,1.217809746124065e-12,2.2077820095254685e-10
SAMD12,0.14875580370426178,1.222339001221621e-12,2.2038838986506768e-10
NEDD9,0.23675334453582764,1.2251967168851068e-12,2.1970307431317446e-10
RP11-298C3.2,-0.04985818266868591,1.2849568208664371e-12,2.2917378542966538e-10
CRLF1,-0.023790869861841202,1.2967106933418213e-12,2.3002671681082472e-10
U2AF1,-0.25220441818237305,1.3362523183688386e-12,2.357735039817103e-10
NOP58,-0.21636110544204712,1.3378864874103037e-12,2.348061949579945e-10
EWSR1,-0.24388551712036133,1.3535712117577051e-12,2.363020218621454e-10
FTL,0.49907469749450684,1.3714810561488815e-12,2.381685128822755e-10
ASPM,-0.4941888749599457,1.3874059768833383e-12,2.3967256653018716e-10
SSRP1,-0.2920072674751282,1.4092358690720134e-12,2.421757161459952e-10
PLAUR,-0.2341993749141693,1.4184080639500217e-12,2.424889848188133e-10
KIF18A,-0.1154814139008522,1.4262242809421703e-12,2.4256840283343763e-10
PLK4,-0.16849465668201447,1.476152810401083e-12,2.4977262553427556e-10
APP,0.26447343826293945,1.4993900185714198e-12,2.5241006970797956e-10
CXXC5,0.11967828869819641,1.5061875116109463e-12,2.522672941401176e-10
GLIPR1,-0.48005399107933044,1.6074081910641279e-12,2.6786077406141867e-10
HNRNPD,-0.36033475399017334,1.6286596954315654e-12,2.700383248782136e-10
POMGNT1,0.1791057586669922,1.6293303952607128e-12,2.687987819581361e-10
GAS6,0.3080558776855469,1.641309396482226e-12,2.694278782931893e-10
MYC,-0.21250377595424652,1.6810829252603236e-12,2.7459074811368504e-10
MCM5,-0.29660600423812866,1.6874968110097136e-12,2.742805777303719e-10
KIAA0930,0.19621002674102783,1.7065163440059904e-12,2.7601228809057673e-10
ILF3,-0.36348211765289307,1.7465104190848089e-12,2.8110298184245494e-10
SMARCC1,-0.24828612804412842,1.79284836096401e-12,2.8716034791265783e-10
SLC39A14,-0.19044888019561768,1.7984161188178113e-12,2.8666057893909994e-10
PRDM8,-0.06410212814807892,1.868414337439832e-12,2.9638620703763107e-10
PSMC3IP,-0.052008047699928284,1.929818516178289e-12,3.046620188579074e-10
NCAPH2,-0.13558973371982574,2.0107935840952283e-12,3.1593397289153356e-10
CKS1B,-0.13501706719398499,2.0412889859378875e-12,3.1920535588161423e-10
LGMN,0.20412477850914001,2.0454504990507014e-12,3.183473547932919e-10
GTF3C5,-0.11213013529777527,2.0565328514805398e-12,3.1856949030328827e-10
PBXIP1,0.5906575322151184,2.0776804018617747e-12,3.2034142457677226e-10
MATN2,-0.18601350486278534,2.085058798163578e-12,3.1998379090887095e-10
RPL22L1,-0.35104620456695557,2.095550272541021e-12,3.201050057522731e-10
ZNF300,-0.1355712115764618,2.1111980438134453e-12,3.2100912191532086e-10
TCF3,-0.20787480473518372,2.12613849469992e-12,3.217978882230452e-10
PTTG1,-0.2829335927963257,2.129851713062311e-12,3.208879327511003e-10
DEK,-0.4156656265258789,2.1560480467683907e-12,3.233582059232866e-10
ITPK1,-0.08283520489931107,2.167683082591956e-12,3.236321416747583e-10
TUBGCP3,-0.08449427783489227,2.252582217984021e-12,3.3479256883956203e-10
FH,-0.17710718512535095,2.257374210098739e-12,3.34000278305865e-10
DDX39A,-0.17096813023090363,2.2879394469156993e-12,3.370114377276049e-10
PRC1,-0.5487685799598694,2.309953879784294e-12,3.3874190339325684e-10
PLCXD1,-0.0838918536901474,2.3446252181961635e-12,3.4230490740877174e-10
IGFBP3,-0.5247249603271484,2.3519084106139326e-12,3.418555859392366e-10
LOX,-0.05727553367614746,2.3656262481263218e-12,3.4234139498652625e-10
SRSF1,-0.3314310312271118,2.4848861761039664e-12,3.5802977895436844e-10
RBM28,-0.05336415767669678,2.4926804983294903e-12,3.57591274097311e-10
CKAP2L,-0.2202787697315216,2.5106123032176947e-12,3.5860455820202526e-10
SF3A3,-0.12047362327575684,2.589953474922175e-12,3.683427366597292e-10
AMPH,-0.09319411218166351,2.6634138051215243e-12,3.771645429183893e-10
KHDRBS1,-0.3288217782974243,2.6891574713650065e-12,3.791826955884119e-10
CALR,-0.5937414169311523,2.7581664064884056e-12,3.8725830034929763e-10
EEF2K,-0.07037794589996338,2.7728205432307467e-12,3.876661602707563e-10
PKP4,0.1558852195739746,2.8061175663410535e-12,3.906660299638104e-10
PCNA,-0.25108468532562256,2.8990213462728153e-12,4.019042408414771e-10
CPXM1,-0.09565906226634979,2.934240768161128e-12,4.0508482906057074e-10
EIF3I,-0.14018690586090088,2.985825478002753e-12,4.1048879852792015e-10
CENPA,-0.08994845300912857,2.989457484625037e-12,4.092827788597639e-10
DKK3,0.7127790451049805,3.0278034224478122e-12,4.128197269572957e-10
PCOLCE,-0.6109780073165894,3.0510229230514982e-12,4.142736680908814e-10
PAPPA,0.6692734956741333,3.1165079644962337e-12,4.214310667563657e-10
ITM2C,0.24413323402404785,3.1680522003222435e-12,4.266525810189079e-10
RAF1,-0.1181495189666748,3.2308488879368397e-12,4.333408904775448e-10
HNRNPF,-0.1714368462562561,3.233571047107598e-12,4.319501080943935e-10
POLD2,-0.13242244720458984,3.2404530130723477e-12,4.3112398050936335e-10
PTBP1,-0.25894641876220703,3.357348639581673e-12,4.448824030642462e-10
FKBP5,-0.1494418978691101,3.3972559430157188e-12,4.483698393592146e-10
NUP85,-0.13166868686676025,3.4338610238080556e-12,4.513953963368398e-10
PBK,-0.2572020888328552,3.5911184500383993e-12,4.701942589643531e-10
SEC13,-0.25740498304367065,3.6038736296098426e-12,4.699992506283666e-10
SGOL1,-0.05096431076526642,3.622681962711549e-12,4.705920919671951e-10
AKAP6,0.14709967374801636,3.6300413427066707e-12,4.696988788337515e-10
CDC25A,-0.07831741869449615,3.691046532584554e-12,4.757268763383881e-10
CDCA7L,-0.12461797893047333,3.7743494230160126e-12,4.845706584140597e-10
GNS,0.24261724948883057,3.81463805081588e-12,4.878448933591859e-10
BTRC,0.1499110609292984,3.974504644314725e-12,5.063273387612524e-10
NAV2,-0.28689074516296387,4.144562581794625e-12,5.259609322550525e-10
PSMC3,-0.26122593879699707,4.178299651326996e-12,5.282107164579856e-10
NRAS,-0.23657333850860596,4.239210061578897e-12,5.338654045106706e-10
AC098614.2,-0.09320449084043503,4.284663144787165e-12,5.375378724800475e-10
KIAA1462,0.3656766414642334,4.3383702969381344e-12,5.422141210131582e-10
ADIPOR1,0.20237815380096436,4.3649225549978024e-12,5.434740366118962e-10
MCM3,-0.35645219683647156,4.432468706126998e-12,5.498094171378208e-10
ASAH1,0.6653203368186951,4.43524368730804e-12,5.480931290738907e-10
DRAM1,0.5230013132095337,4.49212217334405e-12,5.530506384682348e-10
RAPH1,0.2529710531234741,4.5234160569384446e-12,5.548331330806096e-10
KIAA0319L,0.2515544891357422,4.6258306527824585e-12,5.652936384761379e-10
RBBP8,-0.11819140613079071,4.631718738554944e-12,5.639245748288575e-10
APCDD1L,-0.08983820676803589,4.655696099419806e-12,5.647599000013107e-10
COLEC12,-0.0693945586681366,4.703427491838965e-12,5.684600369715261e-10
MYO6,0.1611044704914093,4.765443915951791e-12,5.738533649884283e-10
IMPDH2,-0.2295684814453125,4.839464143605957e-12,5.806477069755584e-10
STIP1,-0.1508338451385498,4.871819990736976e-12,5.82411958675241e-10
SLFN13,-0.03610607609152794,4.900771003483707e-12,5.837579034655051e-10
RP11-405L18.1,-0.017351098358631134,4.9415028584479345e-12,5.86492398613272e-10
DHFR,-0.2617577314376831,5.029910359930728e-12,5.948454922075784e-10
RPL4,-0.461800217628479,5.067639189910175e-12,5.971669823967366e-10
CCNI,-0.23921847343444824,5.069233215709546e-12,5.952290033890977e-10
SEC24D,-0.21090734004974365,5.085931142703064e-12,5.950719789130766e-10
HIST1H2BK,0.3490687310695648,5.300208456183476e-12,6.179518657659851e-10
BZW2,-0.22946199774742126,5.497662637880701e-12,6.387161223129357e-10
ZWILCH,-0.15438206493854523,5.68101376636772e-12,6.577019270922909e-10
HNRNPA1,-0.43869906663894653,5.6866268861336004e-12,6.560498395383851e-10
CDKN3,-0.12734541296958923,5.687054408776297e-12,6.538131018033934e-10
RNF152,0.03885266184806824,5.731339581958199e-12,6.566164913427458e-10
IDS,0.4539249539375305,5.75685573191412e-12,6.572576293235515e-10
PRR5,0.03404490277171135,5.89351014568757e-12,6.705391974377978e-10
AURKA,-0.36509063839912415,5.940188914559969e-12,6.735276056216707e-10
CYP26B1,0.027048323303461075,6.016230358826742e-12,6.798134270187957e-10
RPL18,-0.356067419052124,6.0860643301362565e-12,6.853573125353098e-10
CDC25C,-0.056636810302734375,6.322052585864138e-12,7.095106294917932e-10
NIPAL2,0.12990987300872803,6.385644672188995e-12,7.142181218944946e-10
GNB4,-0.1997028887271881,6.406946904522629e-12,7.141797740362303e-10
SLC38A5,-0.09172224998474121,6.4452053637527944e-12,7.160254241650621e-10
MGAT5,0.3813336491584778,6.462024609808262e-12,7.154849060423611e-10
TYMS,-0.3493410348892212,6.675183395725419e-12,7.366143014781277e-10
RBM15B,-0.12137684226036072,6.844813758085913e-12,7.52815433160149e-10
SUPT16H,-0.21699750423431396,6.854544690519227e-12,7.513810699790097e-10
SMC4,-0.5321136713027954,6.9568666106417885e-12,7.600722311858471e-10
ENPP1,-0.1439979374408722,7.131900633903623e-12,7.76623965068152e-10
SENP1,-0.05629757046699524,7.438371863243578e-12,8.073324987754009e-10
COL11A1,0.23246192932128906,7.454973154951001e-12,8.064814401560927e-10
SLC7A5,-0.2679503560066223,7.455024057850226e-12,8.038513685907458e-10
IQGAP3,-0.3662523925304413,7.504255912428097e-12,8.065241818585181e-10
GPX3,0.21459242701530457,7.844617193648867e-12,8.403673516378064e-10
TIMP1,-0.4270951747894287,7.860565593389317e-12,8.393506852876392e-10
DPP4,0.4323013424873352,7.941471204207915e-12,8.452543302672263e-10
HGSNAT,0.2088150978088379,7.949851476659004e-12,8.434255610043854e-10
RUVBL2,-0.19141077995300293,7.961555186003478e-12,8.419599787249511e-10
PKMYT1,-0.12537966668605804,8.037376826370069e-12,8.47262774396423e-10
EIF4A1P10,-0.13988888263702393,8.08721056764353e-12,8.498009957942619e-10
HNRNPL,-0.24305158853530884,8.115579780280258e-12,8.500747773026893e-10
CNTRL,-0.10103657096624374,8.170552275542179e-12,8.531245959858044e-10
SERINC3,0.3308439254760742,8.220311050535047e-12,8.556125019318735e-10
TLE3,-0.07580557465553284,8.31644961386994e-12,8.628970283321971e-10
RP11-424C20.2,-0.08246825635433197,8.394006134148882e-12,8.682138946590669e-10
WDR76,-0.14058303833007812,8.431903202174771e-12,8.694082692367393e-10
GNPTG,0.13822248578071594,8.43737210247912e-12,8.672619704713351e-10
CEP152,-0.08302098512649536,8.44359367221777e-12,8.652061279963518e-10
BHMT2,0.0855209231376648,8.669369037112885e-12,8.85590809224581e-10
ITPRIPL1,-0.022622859105467796,8.85433105433565e-12,9.016933738821136e-10
SKA1,-0.1016736626625061,8.976459222828066e-12,9.11317760176037e-10
EXO1,-0.13522878289222717,9.003296930946925e-12,9.112385958177723e-10
R3HDM1,-0.10928371548652649,9.176648771852228e-12,9.259435052821538e-10
PARVB,-0.13469740748405457,9.235693804891414e-12,9.290601130865617e-10
RHBDF2,0.01885133981704712,9.380806954202249e-12,9.407894390696145e-10
KIF2C,-0.28904658555984497,9.469512256768325e-12,9.468077482183965e-10
LMNB1,-0.4368598461151123,9.532580814193613e-12,9.50234150949602e-10
TRIM28,-0.2885894775390625,9.551817464926892e-12,9.492837869134423e-10
PPM1G,-0.10980880260467529,9.666997230846511e-12,9.578455664618037e-10
UACA,0.29612278938293457,9.804439219018113e-12,9.685553054835407e-10
CCDC69,0.05568970739841461,9.873501418324843e-12,9.724662068585917e-10
PABPC4,-0.1987546682357788,9.8824294247142e-12,9.704486871084672e-10
EDIL3,0.3130110502243042,9.906456989349846e-12,9.699215084973238e-10
MRPL3,-0.2227742075920105,9.934336850503838e-12,9.697735040898642e-10
CD82,0.17239511013031006,1.0007313818840966e-11,9.7401569160076e-10
LIG1,-0.1596755087375641,1.0034312908228468e-11,9.737710423735244e-10
TMEM130,0.1281653642654419,1.007237102554018e-11,9.74597894392077e-10
BORA,-0.04891020432114601,1.0122786647805767e-11,9.766121211823136e-10
MRPS11,-0.05965600907802582,1.04956836967814e-11,1.009635812172893e-09
CLCC1,0.11299079656600952,1.0737640030729788e-11,1.0299082349242132e-09
PDLIM5,-0.07996290922164917,1.1135988169538128e-11,1.0650200859533637e-09
DTYMK,-0.13784946501255035,1.1140430994025357e-11,1.0623656666123313e-09
PITPNB,-0.19267809391021729,1.1168305322830986e-11,1.0619545652069405e-09
NPC2,0.33751529455184937,1.1220207264417472e-11,1.063823961751306e-09
OSGIN1,0.04069121927022934,1.135465404437386e-11,1.0734865621607895e-09
PIGT,0.12085539102554321,1.1482952971421366e-11,1.0825143808344229e-09
PION,0.0791221410036087,1.1495564222101595e-11,1.0806157877727695e-09
BLM,-0.07233019173145294,1.1754393131344422e-11,1.1018073902520147e-09
FBXO5,-0.15280574560165405,1.1839962344722272e-11,1.1066842990484742e-09
PDE4D,-0.07199716567993164,1.2104578236989451e-11,1.12822191787985e-09
PTRF,-0.25328803062438965,1.2107383921387207e-11,1.125304598552594e-09
GALNT5,0.42716825008392334,1.2113905513944391e-11,1.1227480686308854e-09
FSCN1,-0.3865033984184265,1.2348503417260645e-11,1.141285350847381e-09
ZNF274,-0.047340214252471924,1.250519534185642e-11,1.1525388835322697e-09
RAD21,-0.2314414381980896,1.2621604193621296e-11,1.1600273826421579e-09
AXL,-0.336828351020813,1.2634686306239566e-11,1.1580040963177069e-09
METAP1,-0.14066746830940247,1.2738832329077149e-11,1.1643151598279792e-09
C1orf198,0.21672195196151733,1.2840551728082722e-11,1.1703701775361585e-09
SEC23A,-0.2842808961868286,1.2997130077490268e-11,1.1813782559415742e-09
