TF,regulon_score,p_act,p_rep,n_act,n_rep,mode
SRF,0.13974024135002316,0.9812449723605122,0.7248693867068587,77,4,repression-targets-down
HOXA9,0.13974024135002316,0.8413578681095107,0.7248693867068587,30,4,repression-targets-down
TGIF1,0.13974024135002316,0.9599224049050289,0.7248693867068587,5,4,repression-targets-down
ELK1,0.13974024135002316,0.8754016102083264,0.7248693867068587,45,4,repression-targets-down
PDX1,0.13974024135002316,0.8504589736986319,0.7248693867068587,51,4,repression-targets-down
NKX2-5,0.13974024135002316,0.9000149681091576,0.7248693867068587,46,4,repression-targets-down
TBX18,0.13701523197108223,0.7294319265059412,1.0,7,1,activation-targets-up
GCM1,0.13701523197108223,0.7294319265059412,1.0,7,0,activation-targets-up
NPAS2,0.13701523197108223,0.7294319265059412,1.0,7,0,activation-targets-up
KAT6B,0.13701523197108223,0.7294319265059412,1.0,7,0,activation-targets-up
LHX8,0.13701523197108223,0.7294319265059412,1.0,7,0,activation-targets-up
HOXB4,0.13701523197108223,0.7294319265059412,1.0,7,0,activation-targets-up
ESR1,0.13597007837399766,0.7311894585739769,0.979638529126184,421,33,activation-targets-up
TCF7L2,0.13384379957708883,0.7347780944287177,0.7629167336805263,72,15,activation-targets-up
E2F1,0.12970182378406145,0.9999999899496467,0.7418193819645309,240,29,repression-targets-down
ELF4,0.12525054066568725,0.7494617267203623,1.0,28,1,activation-targets-up
RELB,0.12492262919697471,0.7500278170297485,1.0,37,1,activation-targets-up
MAFK,0.12316717087793624,0.7530656340183352,0.7749328377831166,12,2,activation-targets-up
SIX1,0.12316717087793624,0.7530656340183352,1.0,12,1,activation-targets-up
FOXC1,0.12316717087793624,0.7530656340183352,1.0,12,1,activation-targets-up
NR1I2,0.1150481227668113,0.7672764652279302,0.8428706743389505,143,5,activation-targets-up
FOXM1,0.11308496680838573,0.7707526617135415,0.8428706743389505,62,5,activation-targets-up
NFKB2,0.11181043134532852,0.7730179322138577,0.8428706743389505,42,5,activation-targets-up
NEUROG3,0.11073593548611371,0.9839020458244111,0.7749328377831166,10,2,repression-targets-down
DEAF1,0.11073593548611371,0.9189776216398878,0.7749328377831166,7,2,repression-targets-down
CEBPZ,0.11073593548611371,0.850396560811262,0.7749328377831166,11,2,repression-targets-down
FOXH1,0.11073593548611371,0.9599224049050289,0.7749328377831166,5,2,repression-targets-down
DMTF1,0.11073593548611371,0.8990620242077254,0.7749328377831166,12,2,repression-targets-down
MTF1,0.11073593548611371,0.8817215775723791,0.7749328377831166,24,2,repression-targets-down
PRDM2,0.11073593548611371,1.0,0.7749328377831166,5,2,repression-targets-down
MECOM,0.11073593548611371,0.8990620242077254,0.7749328377831166,12,2,repression-targets-down
